student_id,test_id,game_type,attempt_idx,log_idx,axis,axis_weight,fine_skill,item_template_id,template_label,config_context_id,operation,operations_expected,operations_used,skill_subtype,question_type,format,num_digits,complexity_level,boundary_type,difficulty_zone,sequence_length,comparison_type,order_direction,decomposition_parts,has_zero_place,place_value_pattern,num_options,num_steps,num_pairs,display_time,max_number_range,min_num_compositions,correct,time_spent_ms,answer_time_category,is_slow,mistake_type,started_at,finished_at,definition_order,config_found,config_source,sparse_template,template_attempts,template_students,runtime_question,runtime_selected,runtime_answered,runtime_correct_answer,runtime_expected,runtime_given,runtime_options,runtime_numbers,runtime_left,runtime_right,runtime_number,config_json
stu_1776848582102_8186,test_1776848340577_ghi7b5y,compare_numbers,0,0,comparison_skill,1.0,number_comparison,compare_numbers__Greater__3digits,compare numbers | Greater | Comparison | Greater | 3 digits,compare_numbers__cfg_range3,,,,Greater,Comparison,Horizontal,3.0,medium,,,,Greater,,,,,,,,,3,,1,43866,slow,1,,2026-04-22T09:19:40.315Z,2026-04-22T09:21:07.125Z,3,1,test_definition,False,34,22,,,,,,,,,513,156,,"{""maxNumberRange"": 3, ""numQuestions"": 3, ""requiredCorrectAnswersMinimumPercent"": 85}"
stu_1776848582102_8186,test_1776848340577_ghi7b5y,compare_numbers,0,1,comparison_skill,1.0,number_comparison,compare_numbers__Less__3digits,compare numbers | Less | Comparison | Less | 3 digits,compare_numbers__cfg_range3,,,,Less,Comparison,Horizontal,3.0,medium,,,,Less,,,,,,,,,3,,1,31058,slow,1,,2026-04-22T09:19:40.315Z,2026-04-22T09:21:07.125Z,3,1,test_definition,False,34,22,,,,,,,,,440,762,,"{""maxNumberRange"": 3, ""numQuestions"": 3, ""requiredCorrectAnswersMinimumPercent"": 85}"
stu_1776848582102_8186,test_1776848340577_ghi7b5y,compare_numbers,0,2,comparison_skill,1.0,number_comparison,compare_numbers__Equal__3digits,compare numbers | Equal | Comparison | Equal | 3 digits,compare_numbers__cfg_range3,,,,Equal,Comparison,Horizontal,3.0,medium,,,,Equal,,,,,,,,,3,,1,11885,medium,0,,2026-04-22T09:19:40.315Z,2026-04-22T09:21:07.125Z,3,1,test_definition,False,27,22,,,,,,,,,198,198,,"{""maxNumberRange"": 3, ""numQuestions"": 3, ""requiredCorrectAnswersMinimumPercent"": 85}"
stu_1776848582102_8186,test_1776848340577_ghi7b5y,decompose_number,0,0,number_sense,0.7,place_value_decomposition,decompose_number__3digits__2parts__zeroFalse,decompose number | Decomposition | Decomposition | 3 digits,decompose_number__cfg_range3,,,,Decomposition,Decomposition,Visual,3.0,medium,,,,,,2.0,False,,,,,,3,,1,47863,fast,0,,2026-04-22T09:26:18.064Z,2026-04-22T09:27:18.073Z,5,1,test_definition,False,8,5,,,,,"[200, 3]","[200, 3]",,,,,203,"{""maxNumberRange"": 3, ""numQuestions"": 4, ""requiredCorrectAnswersMinimumPercent"": 75}"
stu_1776848582102_8186,test_1776848340577_ghi7b5y,decompose_number,0,0,visual_matching,0.3,place_value_decomposition,decompose_number__3digits__2parts__zeroFalse,decompose number | Decomposition | Decomposition | 3 digits,decompose_number__cfg_range3,,,,Decomposition,Decomposition,Visual,3.0,medium,,,,,,2.0,False,,,,,,3,,1,47863,fast,0,,2026-04-22T09:26:18.064Z,2026-04-22T09:27:18.073Z,5,1,test_definition,False,8,5,,,,,"[200, 3]","[200, 3]",,,,,203,"{""maxNumberRange"": 3, ""numQuestions"": 4, ""requiredCorrectAnswersMinimumPercent"": 75}"
stu_1776848582102_8186,test_1776848340577_ghi7b5y,decompose_number,0,1,number_sense,0.7,place_value_decomposition,decompose_number__3digits__3parts__zeroFalse,decompose number | Decomposition | Decomposition | 3 digits,decompose_number__cfg_range3,,,,Decomposition,Decomposition,Visual,3.0,medium,,,,,,3.0,False,,,,,,3,,1,41898,fast,0,,2026-04-22T09:26:18.064Z,2026-04-22T09:27:18.073Z,5,1,test_definition,False,16,6,,,,,"[600, 20, 2]","[600, 20, 2]",,,,,622,"{""maxNumberRange"": 3, ""numQuestions"": 4, ""requiredCorrectAnswersMinimumPercent"": 75}"
stu_1776848582102_8186,test_1776848340577_ghi7b5y,decompose_number,0,1,visual_matching,0.3,place_value_decomposition,decompose_number__3digits__3parts__zeroFalse,decompose number | Decomposition | Decomposition | 3 digits,decompose_number__cfg_range3,,,,Decomposition,Decomposition,Visual,3.0,medium,,,,,,3.0,False,,,,,,3,,1,41898,fast,0,,2026-04-22T09:26:18.064Z,2026-04-22T09:27:18.073Z,5,1,test_definition,False,16,6,,,,,"[600, 20, 2]","[600, 20, 2]",,,,,622,"{""maxNumberRange"": 3, ""numQuestions"": 4, ""requiredCorrectAnswersMinimumPercent"": 75}"
stu_1776848582102_8186,test_1776848340577_ghi7b5y,decompose_number,0,2,number_sense,0.7,place_value_decomposition,decompose_number__3digits__2parts__zeroFalse,decompose number | Decomposition | Decomposition | 3 digits,decompose_number__cfg_range3,,,,Decomposition,Decomposition,Visual,3.0,medium,,,,,,2.0,False,,,,,,3,,1,79288,fast,0,,2026-04-22T09:26:18.064Z,2026-04-22T09:27:18.073Z,5,1,test_definition,False,8,5,,,,,"[800, 80]","[800, 80]",,,,,880,"{""maxNumberRange"": 3, ""numQuestions"": 4, ""requiredCorrectAnswersMinimumPercent"": 75}"
stu_1776848582102_8186,test_1776848340577_ghi7b5y,decompose_number,0,2,visual_matching,0.3,place_value_decomposition,decompose_number__3digits__2parts__zeroFalse,decompose number | Decomposition | Decomposition | 3 digits,decompose_number__cfg_range3,,,,Decomposition,Decomposition,Visual,3.0,medium,,,,,,2.0,False,,,,,,3,,1,79288,fast,0,,2026-04-22T09:26:18.064Z,2026-04-22T09:27:18.073Z,5,1,test_definition,False,8,5,,,,,"[800, 80]","[800, 80]",,,,,880,"{""maxNumberRange"": 3, ""numQuestions"": 4, ""requiredCorrectAnswersMinimumPercent"": 75}"
stu_1776848582102_8186,test_1776848340577_ghi7b5y,decompose_number,0,3,number_sense,0.7,place_value_decomposition,decompose_number__3digits__3parts__zeroFalse,decompose number | Decomposition | Decomposition | 3 digits,decompose_number__cfg_range3,,,,Decomposition,Decomposition,Visual,3.0,medium,,,,,,3.0,False,,,,,,3,,1,60009,fast,0,,2026-04-22T09:26:18.064Z,2026-04-22T09:27:18.073Z,5,1,test_definition,False,16,6,,,,,"[300, 50, 7]","[300, 50, 7]",,,,,357,"{""maxNumberRange"": 3, ""numQuestions"": 4, ""requiredCorrectAnswersMinimumPercent"": 75}"
stu_1776848582102_8186,test_1776848340577_ghi7b5y,decompose_number,0,3,visual_matching,0.3,place_value_decomposition,decompose_number__3digits__3parts__zeroFalse,decompose number | Decomposition | Decomposition | 3 digits,decompose_number__cfg_range3,,,,Decomposition,Decomposition,Visual,3.0,medium,,,,,,3.0,False,,,,,,3,,1,60009,fast,0,,2026-04-22T09:26:18.064Z,2026-04-22T09:27:18.073Z,5,1,test_definition,False,16,6,,,,,"[300, 50, 7]","[300, 50, 7]",,,,,357,"{""maxNumberRange"": 3, ""numQuestions"": 4, ""requiredCorrectAnswersMinimumPercent"": 75}"
stu_1776848582102_8186,test_1776848340577_ghi7b5y,find_previous_next_number,0,0,sequential_thinking,0.6,number_sequencing,find_previous_next_number__3digits__normal_range,find previous next number | PreviousAndNext | Sequence | normal_range | 3 digits,find_previous_next_number__cfg_range3,,,,PreviousAndNext,Sequence,Horizontal,3.0,medium,normal_range,100-109,,,,,,,,,,,3,,1,110760,medium,0,,2026-04-22T09:16:22.083Z,2026-04-22T09:17:48.529Z,2,1,test_definition,False,60,20,105,,,,"[104, 106]","[104, 106]",,,,,,"{""maxNumberRange"": 3, ""numQuestions"": 2, ""requiredCorrectAnswersMinimumPercent"": 75}"
stu_1776848582102_8186,test_1776848340577_ghi7b5y,find_previous_next_number,0,0,number_sense,0.4,number_sequencing,find_previous_next_number__3digits__normal_range,find previous next number | PreviousAndNext | Sequence | normal_range | 3 digits,find_previous_next_number__cfg_range3,,,,PreviousAndNext,Sequence,Horizontal,3.0,medium,normal_range,100-109,,,,,,,,,,,3,,1,110760,medium,0,,2026-04-22T09:16:22.083Z,2026-04-22T09:17:48.529Z,2,1,test_definition,False,60,20,105,,,,"[104, 106]","[104, 106]",,,,,,"{""maxNumberRange"": 3, ""numQuestions"": 2, ""requiredCorrectAnswersMinimumPercent"": 75}"
stu_1776848582102_8186,test_1776848340577_ghi7b5y,find_previous_next_number,0,1,sequential_thinking,0.6,number_sequencing,find_previous_next_number__3digits__normal_range,find previous next number | PreviousAndNext | Sequence | normal_range | 3 digits,find_previous_next_number__cfg_range3,,,,PreviousAndNext,Sequence,Horizontal,3.0,medium,normal_range,460-469,,,,,,,,,,,3,,0,86446,medium,0,RangeUncertainty,2026-04-22T09:16:22.083Z,2026-04-22T09:17:48.529Z,2,1,test_definition,False,60,20,463,,,,"[462, 464]","[464, 465]",,,,,,"{""maxNumberRange"": 3, ""numQuestions"": 2, ""requiredCorrectAnswersMinimumPercent"": 75}"
stu_1776848582102_8186,test_1776848340577_ghi7b5y,find_previous_next_number,0,1,number_sense,0.4,number_sequencing,find_previous_next_number__3digits__normal_range,find previous next number | PreviousAndNext | Sequence | normal_range | 3 digits,find_previous_next_number__cfg_range3,,,,PreviousAndNext,Sequence,Horizontal,3.0,medium,normal_range,460-469,,,,,,,,,,,3,,0,86446,medium,0,RangeUncertainty,2026-04-22T09:16:22.083Z,2026-04-22T09:17:48.529Z,2,1,test_definition,False,60,20,463,,,,"[462, 464]","[464, 465]",,,,,,"{""maxNumberRange"": 3, ""numQuestions"": 2, ""requiredCorrectAnswersMinimumPercent"": 75}"
stu_1776848582102_8186,test_1776848340577_ghi7b5y,find_previous_next_number,1,0,sequential_thinking,0.6,number_sequencing,find_previous_next_number__1digits__low_number_edge,find previous next number | PreviousAndNext | Sequence | low_number_edge | 1 digits,find_previous_next_number__cfg_range3,,,,PreviousAndNext,Sequence,Horizontal,1.0,very-easy,low_number_edge,0-9,,,,,,,,,,,3,,1,67579,medium,0,,2026-04-22T09:18:56.249Z,2026-04-22T09:19:40.185Z,2,1,test_definition,True,3,3,8,,,,"[7, 9]","[7, 9]",,,,,,"{""maxNumberRange"": 3, ""numQuestions"": 2, ""requiredCorrectAnswersMinimumPercent"": 75}"
stu_1776848582102_8186,test_1776848340577_ghi7b5y,find_previous_next_number,1,0,number_sense,0.4,number_sequencing,find_previous_next_number__1digits__low_number_edge,find previous next number | PreviousAndNext | Sequence | low_number_edge | 1 digits,find_previous_next_number__cfg_range3,,,,PreviousAndNext,Sequence,Horizontal,1.0,very-easy,low_number_edge,0-9,,,,,,,,,,,3,,1,67579,medium,0,,2026-04-22T09:18:56.249Z,2026-04-22T09:19:40.185Z,2,1,test_definition,True,3,3,8,,,,"[7, 9]","[7, 9]",,,,,,"{""maxNumberRange"": 3, ""numQuestions"": 2, ""requiredCorrectAnswersMinimumPercent"": 75}"
stu_1776848582102_8186,test_1776848340577_ghi7b5y,find_previous_next_number,1,1,sequential_thinking,0.6,number_sequencing,find_previous_next_number__2digits__normal_range,find previous next number | PreviousAndNext | Sequence | normal_range | 2 digits,find_previous_next_number__cfg_range3,,,,PreviousAndNext,Sequence,Horizontal,2.0,easy,normal_range,40-49,,,,,,,,,,,3,,1,43936,fast,0,,2026-04-22T09:18:56.249Z,2026-04-22T09:19:40.185Z,2,1,test_definition,False,17,11,42,,,,"[41, 43]","[41, 43]",,,,,,"{""maxNumberRange"": 3, ""numQuestions"": 2, ""requiredCorrectAnswersMinimumPercent"": 75}"
